ID,Statement,Question_phi,Question_mistral,Label
8405.json,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.", How much cash flow does the federal government currently hold to confirm if the statement of having $3 trillion in cash flow is accurate?,What is the current cash flow of the federal government as reported by a reliable source?,half-true
8794.json,Says Alex Sink failed Florida homeowners by using predatory lending practices., What evidence supports the claim that Alex Sink used predatory lending practices against Florida homeowners?,"1. ""Did Alex Sink engage in predatory lending practices as Florida's chief financial officer?""",false
11196.json,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed., What percentage of small and mid-size banks that provide loans to small businesses have been eliminated since the implementation of Dodd-Frank?,"1. ""How many small and mid-size banks that lend to small businesses have closed since Dodd-Frank was passed?""",barely-true
2917.json,You cant check out a library book without a photo ID.," ""Is there a library policy requiring a photo ID for checking out books, and if so, is it universally applicable across all libraries?""",What is the library policy requiring identification for book checkout?,barely-true
11555.json,Says that Starbucks took Christmas off of their brand new cups., What is the design or message on brand new Starbucks cups during the Christmas season?,"1. ""Did Starbucks remove Christmas designs from their latest coffee cup Sales?""",pants-fire
10449.json,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch., How does a change in atmospheric conditions one-and-a-half pounds per square inch affect a football's pressure?,What is the approximate change in atmospheric pressure that could affect a football's pressure?,mostly-true
13223.json,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding."," What evidence supports the claim that Hillary Clinton supports unlimited abortion, including partial-birth abortion, with taxpayer funding?"," ""_Did Hillary Clinton publicly advocate for unlimited abortion on demand, including partial-birth abortion, with taxpayer funding?""_",false
10611.json,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.", What recent legislation in Georgia allows legal refugee children to obtain state scholarships for private school education?,"1. ""Has the Georgia House passed legislation allowing some refugee children to receive state scholarships for private schools?""",true
2060.json,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.", How many private sector jobs were added in the first six months of the year during the initial period mentioned in the headline?,"1. ""How many jobs were lost in the last six months of the Bush Administration vs. how many were added in the first six months of which year in the private sector?""",mostly-true
4687.json,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive., What reputable financial rating agency assigned the highest possible credit rating to the STAR Ohio fund?,What is the specific credit rating agency that assigned the highest possible rating to The STAR Ohio fund?,half-true
7210.json,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders."," What percentage of the proposed new Atlanta Falcons stadium costs are taxpayers responsible for, and where does the repayment of these funds come from?","What is the source and proportion of funding for the new Atlanta Falcons stadium, and is that funding repaid from external sources?",half-true
